"HHID","SID","personality__satisfaction_satHealth.2005","personality__satisfaction_satHealth.2009","personality__satisfaction_satHealth.2013","personality__satisfaction_satIncome.2005","personality__satisfaction_satIncome.2009","personality__satisfaction_satIncome.2013","personality__satisfaction_satLife.2005","personality__satisfaction_satLife.2009","personality__satisfaction_satLife.2013","personality__A_coarse.2005","personality__A_coarse.2009","personality__A_coarse.2013","personality__A_forgive.2005","personality__A_forgive.2009","personality__A_forgive.2013","personality__A_friendly.2005","personality__A_friendly.2009","personality__A_friendly.2013","personality__C_efficient.2005","personality__C_efficient.2009","personality__C_efficient.2013","personality__C_lazy.2005","personality__C_lazy.2009","personality__C_lazy.2013","personality__C_thorough.2005","personality__C_thorough.2009","personality__C_thorough.2013","personality__E_cmmnctv.2005","personality__E_cmmnctv.2009","personality__E_cmmnctv.2013","personality__E_reserved.2005","personality__E_reserved.2009","personality__E_reserved.2013","personality__E_sociable.2005","personality__E_sociable.2009","personality__E_sociable.2013","personality__N_dealStrss.2005","personality__N_dealStrss.2009","personality__N_dealStrss.2013","personality__N_nervous.2005","personality__N_nervous.2009","personality__N_nervous.2013","personality__N_worry.2005","personality__N_worry.2009","personality__N_worry.2013","personality__O_artExp.2005","personality__O_artExp.2009","personality__O_artExp.2013","personality__O_imagn.2005","personality__O_imagn.2009","personality__O_imagn.2013","personality__O_original.2005","personality__O_original.2009","personality__O_original.2013","predictor__currHealth_currHealth.2005","DOB","Sex","Age"
736,7301,8,9,5,8,8,8,8,8,7,4,5,4,6,3,2,6,5,5,7,6,2,1,2,3,7,6,3,5,3,5,4,6,6,5,3,3,5,2,3,2,6,5,3,2,4,6,5,6,3,3,5,5,3,2,3,1930,1,75
736,7302,8,8,4,8,8,8,8,7,5,3,2,4,6,6,6,6,5,7,7,5,6,1,3,2,7,6,6,5,6,6,3,5,4,4,5,7,6,4,4,1,5,6,2,5,5,5,5,7,4,5,6,4,4,5,2,1938,2,67
736,7303,7,NA,NA,7,NA,NA,7,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,5,NA,NA,6,NA,NA,4,NA,NA,2,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA,4,NA,NA,3,NA,NA,3,1970,1,35
736,1053102,6,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,1,NA,NA,6,NA,NA,5,NA,NA,7,NA,NA,6,NA,NA,3,1966,2,39
1015,10101,7,7,7,8,8,8,8,7,7,5,6,5,6,5,7,6,5,6,5,5,5,7,4,5,5,5,7,5,5,5,6,4,6,5,4,5,5,5,6,6,6,4,6,4,7,5,6,4,6,6,7,4,4,5,3,1938,1,67
1023,10201,5,4,NA,7,6,NA,7,6,NA,1,2,NA,5,2,NA,7,6,NA,7,6,NA,1,2,NA,6,6,NA,6,5,NA,4,4,NA,4,6,NA,4,5,NA,2,2,NA,4,5,NA,1,3,NA,6,4,NA,4,2,NA,3,1936,2,69
1031,10301,5,5,NA,5,5,NA,4,5,NA,6,3,NA,6,7,NA,6,6,NA,5,6,NA,6,3,NA,7,4,NA,4,3,NA,5,4,NA,3,3,NA,1,5,NA,5,2,NA,6,5,NA,1,2,NA,5,5,NA,1,3,NA,3,1934,1,71
1031,10302,3,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,3,NA,NA,4,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,7,NA,NA,5,NA,NA,5,1935,2,70
1031,10303,7,NA,NA,2,NA,NA,7,NA,NA,1,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,1,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,4,NA,NA,7,NA,NA,5,NA,NA,3,1966,2,39
1031,10304,7,NA,NA,5,NA,NA,7,NA,NA,3,NA,NA,4,NA,NA,7,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,3,1975,2,30
1031,947804,6,NA,NA,6,NA,NA,5,NA,NA,6,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,3,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,5,NA,NA,4,1971,1,34
1066,10602,5,3,NA,5,7,NA,6,5,NA,4,6,NA,4,6,NA,6,5,NA,6,6,NA,1,1,NA,5,6,NA,5,4,NA,5,6,NA,5,4,NA,1,2,NA,3,7,NA,6,6,NA,1,3,NA,1,2,NA,1,1,NA,3,1924,2,81
1066,10603,5,2,NA,6,7,NA,5,5,NA,4,4,NA,5,5,NA,5,4,NA,5,3,NA,4,4,NA,5,3,NA,4,3,NA,3,4,NA,4,3,NA,3,4,NA,3,1,NA,5,3,NA,1,1,NA,2,2,NA,1,3,NA,4,1942,1,63
1228,12201,2,5,8,0,3,7,2,4,8,2,2,2,7,5,6,7,1,7,7,6,7,2,3,4,7,7,7,6,7,7,4,2,6,7,7,7,7,6,7,2,2,2,2,6,3,3,2,3,7,7,7,5,6,6,4,1942,1,63
1228,12202,3,1,3,5,5,8,4,5,7,2,3,2,6,5,6,7,6,7,7,6,7,1,1,1,7,6,7,5,5,6,6,3,6,6,5,6,7,6,6,3,3,4,5,5,4,6,3,4,5,4,4,6,6,6,2,1950,2,55
1236,12301,1,2,NA,2,6,NA,3,2,NA,7,4,NA,7,7,NA,5,7,NA,6,6,NA,2,2,NA,6,6,NA,6,6,NA,5,3,NA,6,3,NA,6,6,NA,3,2,NA,6,4,NA,5,5,NA,4,3,NA,5,6,NA,4,1941,1,64
1236,12303,8,2,0,3,0,0,6,8,3,3,3,3,6,6,7,4,6,7,6,6,7,1,3,2,6,7,7,6,7,7,3,2,5,5,7,7,4,2,3,4,3,5,4,3,7,5,3,2,4,7,7,5,7,7,2,1973,2,32
1279,12701,8,10,6,6,7,8,10,10,10,6,1,1,3,7,7,6,7,7,5,7,6,7,7,7,6,7,7,6,4,2,6,5,5,6,4,5,6,7,6,3,1,3,4,1,1,4,1,1,5,4,1,6,4,1,2,1937,1,68
1384,13801,5,8,8,5,8,8,5,6,6,5,1,1,5,4,6,6,7,7,7,7,7,1,1,1,7,7,7,4,5,7,5,5,5,5,4,4,6,7,7,2,1,1,5,5,2,5,6,4,7,5,6,4,5,5,3,1964,1,41
1384,13802,9,8,NA,6,7,NA,8,8,NA,1,1,NA,7,7,NA,7,7,NA,7,7,NA,1,1,NA,7,7,NA,7,7,NA,4,2,NA,7,4,NA,5,6,NA,4,5,NA,7,6,NA,6,7,NA,7,7,NA,1,6,NA,2,1964,1,41
1384,13803,10,NA,NA,7,NA,NA,8,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,5,NA,NA,2,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,3,NA,NA,1,1972,2,33
1384,652103,5,6,4,5,8,8,5,5,4,5,1,2,5,7,7,5,5,4,5,5,5,1,1,1,5,7,4,4,5,2,5,5,4,4,5,4,1,1,2,7,5,6,4,7,6,3,1,5,6,5,4,4,1,1,2,1960,2,45
1392,13901,7,8,8,2,7,8,7,7,8,4,3,2,6,6,6,5,6,5,6,6,6,5,5,3,6,5,6,6,5,5,5,5,5,5,5,6,5,5,5,3,2,3,4,3,2,4,4,6,5,5,6,5,4,5,2,1960,1,45
1392,13902,5,2,5,5,5,5,5,5,8,1,1,5,5,4,3,7,7,7,7,7,6,1,6,2,7,7,7,7,7,7,5,5,4,5,4,4,5,5,6,2,6,2,5,5,4,6,3,5,5,5,7,5,3,5,3,1960,2,45
1392,13903,NA,NA,6,NA,NA,9,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,2,NA,NA,6,NA,NA,6,NA,1994,1,11
1392,13904,NA,NA,8,NA,NA,-1,NA,NA,9,NA,NA,3,NA,NA,5,NA,NA,6,NA,NA,1,NA,NA,6,NA,NA,3,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,3,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,4,NA,1994,2,11
1449,14402,5,NA,NA,10,NA,NA,8,NA,NA,2,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,4,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,3,1926,2,79
1554,15503,7,8,10,2,5,7,7,8,9,2,2,2,5,4,5,7,7,7,7,7,7,1,1,1,7,7,7,5,5,5,5,6,5,4,5,5,5,4,4,5,3,2,7,6,7,4,5,7,7,7,7,5,6,7,3,1970,2,35
1554,893402,8,8,5,6,7,5,7,8,6,7,7,7,7,7,7,7,4,5,6,7,7,5,1,1,6,7,7,7,7,7,5,2,2,7,7,7,3,1,1,5,3,7,7,7,7,1,4,1,5,7,5,5,4,7,2,1966,1,39
1635,16301,6,NA,NA,10,NA,NA,8,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,2,NA,NA,7,NA,NA,4,NA,NA,1,NA,NA,3,NA,NA,7,NA,NA,7,NA,NA,5,NA,NA,3,1936,1,69
1643,16401,7,7,7,3,7,7,8,8,9,5,5,5,3,3,3,3,5,4,5,6,6,4,3,3,6,6,7,4,3,4,3,5,5,3,4,4,5,4,4,4,5,5,3,5,4,2,3,3,2,3,3,4,4,5,2,1949,1,56
1643,16402,5,7,8,6,5,6,8,8,8,1,2,3,7,7,5,7,2,6,7,6,6,2,4,2,7,4,5,7,7,6,3,2,2,7,7,6,5,6,6,2,2,5,4,4,3,2,2,3,7,4,6,7,7,6,3,1950,2,55
1643,16404,6,NA,NA,5,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,5,NA,NA,3,1978,2,27
1643,1200502,5,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,5,NA,NA,3,NA,NA,4,NA,NA,3,NA,NA,3,1979,1,26
1660,16603,5,8,5,5,6,7,8,8,8,1,5,2,6,7,7,7,7,6,7,7,7,1,2,1,7,7,7,6,7,6,6,5,6,5,5,5,4,3,4,6,6,6,5,6,4,5,6,6,7,7,7,5,5,5,2,1964,2,41
1660,714802,5,2,2,4,5,8,7,2,5,3,5,5,3,7,6,6,4,6,6,5,6,1,1,1,7,7,7,5,5,4,3,5,4,4,2,3,4,4,3,2,2,3,4,6,3,6,7,7,6,7,6,6,6,6,3,1964,1,41
1660,950102,3,8,8,2,8,6,2,8,8,5,4,5,6,6,6,7,6,6,7,6,7,2,1,2,7,7,7,6,6,4,5,2,3,4,5,6,5,4,4,4,2,5,5,4,3,5,5,4,6,5,5,6,6,6,3,1964,2,41
1660,950104,NA,NA,4,NA,NA,-1,NA,NA,4,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,3,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,7,NA,NA,7,NA,1995,2,10
1660,1164903,NA,NA,10,NA,NA,10,NA,NA,10,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,6,NA,1960,2,45
1724,17201,5,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,3,NA,NA,4,NA,NA,3,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,3,1925,1,80
1724,17202,0,NA,NA,4,NA,NA,2,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,5,NA,NA,2,NA,NA,5,NA,NA,7,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,5,1927,2,78
1767,17601,6,7,5,8,9,9,8,9,9,2,1,5,7,7,7,6,5,7,2,6,7,3,5,6,7,7,7,6,6,7,6,3,7,3,7,4,2,5,6,2,1,1,5,3,3,4,4,1,2,5,6,3,5,4,3,1935,1,70
1767,17602,2,5,NA,8,9,NA,7,7,NA,7,7,NA,7,1,NA,6,4,NA,2,6,NA,3,4,NA,6,7,NA,6,6,NA,3,2,NA,7,1,NA,5,2,NA,4,3,NA,2,1,NA,3,1,NA,5,1,NA,2,3,NA,4,1934,2,71
1775,17702,4,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,4,NA,NA,7,NA,NA,3,NA,NA,4,1936,2,69
1775,883002,7,8,NA,7,7,NA,-1,7,NA,3,3,NA,5,6,NA,7,6,NA,6,6,NA,1,1,NA,6,6,NA,6,5,NA,4,1,NA,6,6,NA,4,6,NA,3,2,NA,6,3,NA,6,6,NA,6,5,NA,4,6,NA,2,1970,2,35
1791,17901,3,6,7,6,7,6,6,7,7,4,4,3,6,4,5,6,4,5,6,4,6,5,4,2,5,5,5,4,4,5,5,4,5,5,5,3,4,5,6,4,3,2,5,4,4,4,5,5,6,4,3,5,5,4,4,1948,1,57
1791,17902,0,1,3,4,6,7,5,7,5,1,3,1,4,7,5,7,7,7,7,4,7,1,2,2,7,6,7,7,6,7,4,4,2,4,6,6,7,5,4,1,4,5,4,5,3,4,7,7,4,5,4,5,6,5,5,1953,2,52
1791,17903,7,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,4,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,3,1974,1,31
1791,17904,4,5,NA,2,3,NA,6,5,NA,2,1,NA,7,4,NA,6,6,NA,4,5,NA,3,6,NA,6,6,NA,7,5,NA,2,3,NA,6,5,NA,6,2,NA,5,4,NA,6,7,NA,3,1,NA,7,6,NA,4,4,NA,3,1980,2,25
1791,1057602,4,6,8,7,7,7,6,5,7,3,3,2,7,7,6,5,6,5,6,6,5,2,3,2,7,7,7,7,7,7,3,4,3,7,7,7,3,4,2,5,5,6,6,6,5,4,4,2,6,6,6,4,5,5,3,1975,2,30
1791,1259302,NA,8,7,NA,8,7,NA,6,7,NA,3,2,NA,5,5,NA,6,5,NA,3,6,NA,2,2,NA,6,6,NA,6,6,NA,2,2,NA,6,5,NA,6,5,NA,1,2,NA,3,4,NA,3,4,NA,6,4,NA,3,5,NA,1974,1,31
1805,18001,5,10,NA,8,8,NA,8,9,NA,1,4,NA,6,6,NA,7,7,NA,7,6,NA,1,4,NA,7,6,NA,6,4,NA,7,7,NA,3,3,NA,6,6,NA,5,4,NA,6,2,NA,1,2,NA,6,3,NA,4,4,NA,3,1952,1,53
1805,18002,10,10,NA,8,7,NA,8,9,NA,1,1,NA,6,7,NA,7,7,NA,7,7,NA,3,1,NA,1,7,NA,7,7,NA,7,5,NA,5,7,NA,4,7,NA,3,3,NA,5,4,NA,5,3,NA,4,7,NA,4,6,NA,2,1956,2,49
1805,18003,8,NA,NA,4,NA,NA,8,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,4,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,7,NA,NA,4,NA,NA,1,1981,1,24
1813,18101,0,NA,NA,7,NA,NA,3,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,5,1917,2,88
1880,18801,8,7,8,8,6,8,8,7,10,3,1,1,6,6,7,6,7,7,7,5,7,1,2,1,7,7,7,5,6,6,4,4,7,5,5,6,5,5,6,2,5,5,3,3,4,3,1,6,3,3,7,3,2,4,2,1946,1,59
1880,18802,8,7,6,8,7,8,8,7,8,3,5,3,5,6,7,6,6,6,7,7,6,1,2,2,7,7,6,5,7,7,3,4,4,6,6,6,5,7,6,3,5,5,2,4,4,3,5,6,6,6,6,3,6,6,2,1951,2,54
1880,18804,8,7,8,8,6,5,8,9,10,3,2,2,6,7,5,7,7,7,7,7,7,1,1,1,7,7,7,6,7,7,4,4,2,5,5,7,5,4,6,3,3,2,2,3,5,3,3,3,4,5,4,5,5,6,2,1977,2,28
1880,18805,7,NA,NA,2,NA,NA,8,NA,NA,4,NA,NA,5,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,4,NA,NA,2,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,2,1979,1,26
1880,970502,9,9,5,8,7,1,9,9,0,3,1,4,5,7,7,7,7,7,7,7,5,1,2,1,7,7,7,5,7,5,3,5,7,5,5,4,5,6,7,3,2,3,2,3,6,4,4,1,5,3,6,5,3,3,1,1976,1,29
1880,1138402,8,NA,NA,3,NA,NA,8,NA,NA,2,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,2,NA,NA,7,NA,NA,4,NA,NA,2,NA,NA,7,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,2,1977,2,28
1902,19001,8,7,4,8,5,4,9,9,7,5,5,7,5,6,7,5,6,4,5,6,5,5,4,5,5,4,7,5,5,7,4,5,2,4,5,7,4,5,7,5,4,6,5,5,5,7,7,7,5,4,3,4,4,5,2,1942,1,63
1902,19002,7,5,6,5,6,5,9,8,7,5,3,5,6,5,7,5,-1,4,7,6,7,2,1,1,7,7,7,7,7,7,4,5,3,5,6,7,5,4,5,3,4,6,4,2,7,4,4,7,6,7,7,6,5,6,2,1940,2,65
1929,19201,8,8,9,10,10,9,9,9,9,1,2,2,6,3,5,6,6,6,6,6,6,2,1,2,2,4,6,4,3,5,6,6,5,4,5,4,5,3,4,3,6,4,6,5,3,6,6,6,4,5,3,4,5,4,2,1959,1,46
1929,19203,7,7,5,7,6,-1,8,8,7,5,4,3,6,5,3,6,6,6,7,6,6,3,2,2,6,6,5,4,5,5,5,4,4,4,6,5,4,4,4,6,5,5,6,6,6,4,4,5,5,3,5,6,5,5,3,1961,2,44
1929,19204,NA,8,7,NA,7,7,NA,8,8,NA,4,3,NA,5,5,NA,6,6,NA,6,6,NA,3,2,NA,6,7,NA,4,5,NA,5,6,NA,4,5,NA,4,4,NA,5,5,NA,4,5,NA,4,5,NA,4,4,NA,6,5,NA,1991,2,14
1929,19205,NA,NA,9,NA,NA,8,NA,NA,8,NA,NA,4,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,7,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,7,NA,NA,6,NA,1992,2,13
2046,20401,6,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,7,NA,NA,6,NA,NA,4,NA,NA,2,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,3,NA,NA,1,NA,NA,5,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,4,1927,1,78
2046,20403,9,NA,NA,9,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,4,1968,2,37
2054,20501,7,9,NA,8,10,NA,8,9,NA,6,5,NA,7,6,NA,4,5,NA,7,7,NA,4,4,NA,5,7,NA,5,3,NA,5,5,NA,4,6,NA,3,6,NA,1,1,NA,1,2,NA,1,2,NA,1,4,NA,4,4,NA,2,1955,1,50
2054,20502,8,9,NA,7,10,NA,9,9,NA,3,1,NA,7,6,NA,7,7,NA,7,7,NA,1,1,NA,7,7,NA,7,7,NA,7,1,NA,7,5,NA,4,6,NA,3,4,NA,5,4,NA,1,2,NA,4,5,NA,5,5,NA,2,1958,2,47
2054,20503,5,10,NA,5,9,NA,8,7,NA,2,1,NA,7,7,NA,7,7,NA,5,7,NA,5,5,NA,5,7,NA,5,7,NA,6,5,NA,5,4,NA,6,7,NA,1,1,NA,1,1,NA,2,1,NA,6,7,NA,4,6,NA,3,1988,1,17
